Quote,Tag,Confidence,Tag Group,Participant
"I have to find a time in order to like, cook, make all the meals, making sure that everything is good for everybody, you know?",what i am responsible for,0.8,Caregiver,P6 Jorie M
"It was like the family meals, the family meals, like they'll have like the family meal boxes. It will say like for a family of three or a family of five. And also like HelloFresh, like HelloFresh two didn't really like it.",meal boxes,0.9,Caregiver,P6 Jorie M
"It's narrowed down like it's selections of food that it has. So when it narrows it down, sometimes I don't want to eat a burger for the most part. Sometimes they have like mostly pork and we don't eat pork like that. Other times it's like it's maybe something that I'm not interested in eating. So I'll just like skip the week for the most part. But I do want to like try different meals and try different things. But it also it makes it hard because it's always like rotated meals. It's nothing like that's new that stands out. That's different that I haven't heard about none of those. So I'm just like not interested when it comes to it. For the most part I'll get it like maybe like every other month or something, but it's also still very rare.",meal boxes,0.9,Caregiver,P6 Jorie M
"About like two weeks, but it wasn't like consistently every week. I'll just see it 'cause if I don't like that week's meal plans or anything, I'll just skip it. And if I'm not around, I'll just skip it. But also like if we are not on the same page when it comes like those meals, it's kind of like a waste of money, a waste of time and everything. And also the meals can be pretty expensive. I think it's like 3 meals for $50.00 and it says for like one to two people, it's only fit for like one person if if anything, you know, So it's not something that it's like for a family to feed a whole family or even last 'cause it has to be like small tiny plates if anything.",meal boxes,0.95,Caregiver,P6 Jorie M
"It's like it just doesn't flow and it doesn't fit. But I do like certain things that's there, like they're add-ons, like the pieces that they have, those add-ons are pretty good in like the cheesecakes. The add-ons are good, but I wouldn't just go for it just for the add-ons.",meal boxes,0.8,Caregiver,P6 Jorie M
"I need everything to like, make sense for me that I'm interested in, like cooking, eating, and doing everything with it.",cooking,0.9,Caregiver,P6 Jorie M
"So I like the like Buffalo pizza. It was like a bread. I forgot the type of bread. It was like a bread type of pizza, like a flat bread. And then also they have like the cheesecake. The cheesecake is really good. So we like that one too. And then they're brownies, we like that one too. So we just tried to like try different things and they're adding on many different things, but sometimes it just isn't. It doesn't taste all that good sometimes.",what do they order,0.9,Caregiver,P6 Jorie M
"Yeah, but I do like like that it comes, everything comes packaged, it comes in its own bag, stuff like that. It makes it so much easier for you to just have everything together when you're cooking. And I like the portions if it's like for one person, but not portions for three people, you know, But it makes sense. Like they have like the rice and it comes with like the packets that are best fit for like that size. And like everything is good. It's not over salty or over seasoned or anything.",meal boxes,0.9,Caregiver,P6 Jorie M
"So whenever like we have like any holidays or anything, we just like order anything that's different outside of like what we're cooking from home and tend to go with like the family meals that's on like Grubhub that has like the different, like it'll be like a pasta place that's next door. And it would say like the family meals, it's on the bottom. So we just order for like the family meals, get it delivered outside of like what we're cooking. It's something that's different that we don't tend to have at home, stuff like that.",when family orders/ how often,0.9,Caregiver,P6 Jorie M
It's both. So tend to be like holidays when I'm meeting with like my parents and my extended family holidays too and also like family because it does give us a bit. Some leftovers can also pack you for like lunch the next day or something. So it does leave us enough food.,when family orders/ how often,0.9,Caregiver,P6 Jorie M
"And also sometimes it's good, sometimes it's not. It depends, like the place we get it from and stuff. Yeah, 'cause some places they do make like family meals. You can even order it there. It's catering meals basically for the most part.",food delivery,0.8,Caregiver,P6 Jorie M
"Well, it wasn't like in a sense of like catering, but it was more so like family meals and stuff. I would say like it's like catering because it's bigger meal plans and bigger stuff on there and then what we typically have like just like the individual meals and everything.",meal planning,0.8,Caregiver,P6 Jorie M
"Yeah. So that's like, but it's it gets expensive. It can be up to like $100 for like the whole thing, but sometimes it could be pretty expensive. So it's something that we also save for like holidays and gatherings, like family gatherings and stuff.",food delivery,0.8,Caregiver,P6 Jorie M
"Budgeting for food delivery at times, at times, but it depends on like what exactly we're getting. So at times I do think about like the budgeting and stuff. Sometimes it's kind of like, yeah, don't care. Let's just reward ourselves and eat as much as like we want to or order at like whatever price we want to at this point. But then sometimes we're just like, yeah, let's stay in this range within like less than 50 'cause I mean, they do have like a good portion when it comes like we're ordering from and all of that.",food delivery,0.9,Caregiver,P6 Jorie M
"It just depends, like from being more like spontaneous of like what we want to get. And I'm like, Oh yeah, let's just go like whatever we want, whatever we're in the mood for stuff like, rather than just like, Oh yeah, let's just stick to this. Let's just stick to that one and, you know, just doing different things each time.",decisions on ordering,0.9,Caregiver,P6 Jorie M
"It's not like anytime I'm ordering something, it's not like, Oh yeah, so we stay underneath this budget or something. I'm always, at times, I'm always conscious of like what I'm purchasing. So sometimes like, let me just be spontaneous.",rules,0.8,Caregiver,P6 Jorie M
"Sometimes I'm not like interested in it because I don't know, like how they're getting it and everything, like how it's made. Unless like it's something that I'm like, I like this place and I understand like how it is. I've been there before or something. You know, 'cause I do Grubhub, I just do the pickup instead of like delivery. I just get it picked up. So it depends, depends on like the places or things like if you know like it's clean, sanitary level and everything.",food delivery,0.9,Caregiver,P6 Jorie M
"Most of them is fast food places. Yeah, most of them is fast food places. I like Chick-fil-A. We like Chick-fil-A, but most of them is like fast food places cause other the places they're like just like small mom and dad pop shops and then like small like fine restaurants that I've either been to like before inside and I just want to get it delivered. But most of the places I'm just like, it's the fast food places if anything.",what do they order,0.9,No Tag Group,P6 Jorie M
"So for me, fast food is more so like anything that offers a tractor for me for the most part. But I mean, I would still consider Chick-fil-A underneath fast food because you get it real fast. They don't care, they just throw it in there and everything. But it's still like on the better end of the fast food if anything, if that makes sense. So the typical fast foods like Sonic, if it still exists out here, McDonald's, Burger King, Jack-in-the-box, all those corner foods that you can just get at any time that you want to get them at. They do have some that's dining that's fast food, like Chipotle and stuff like that. Those are the ones that are fast that you can always get at any time in and out burgers. And then the other ones that they're taking more time. These are more so like the casual dinings, fine dinings and stuff. So all of that really just depends on like how they're cooking it and everything, like what's going on.",food delivery,0.8,Caregiver,P6 Jorie M
"I try and stay away from most of the fast foods, but we like Chick-fil-A and then maybe like Shake Shack, that's very close to like the fast food too, but it's a little on the other side. So I try to stay away from like McDonald's, Burger King, Jack of the Ox, Checkered, all those places there, they lean towards like the restaurants, the casual dining and stuff like that, that getting those made and then they're more seasoned, they're better. It's almost like cooking it at home by you just ordering it online, stuff like that. And also some satellite places that we like. Those are kind of like fast food, but it's more so on the healthier end if anything.",food delivery,0.9,Caregiver,P6 Jorie M
"Different, yeah, they always have cell phones at that age, but it's not something that's recommended, if anything.",other,0.8,Caregiver,P6 Jorie M
"So I'm one of the oldest and my parents are getting much older. So just like helping them around, like sending food or if anything it's like more so like sending food, helping them with certain things like driving them to appointments and helping them.",what i am responsible for,0.9,Caregiver,P6 Jorie M
"Yeah, they still have like younger siblings that are in school and other stuff. So it's more so like when the older ones are the ones that are helping and doing what needs to be done.",who i give care to,0.8,Caregiver,P6 Jorie M
"I would say like the older ones are more involved and the younger ones are still like in school, like high school and stuff. So they're still pretty young if anything. But yeah, like the older ones are the ones that like help and making sure that everything is maintained and up to date and everything.",kids independence (overall),0.9,Caregiver,P6 Jorie M
"Yeah, so I'm helping with like driving around, helping with like also the younger kids when it comes to like what my parents need help with.",what i am responsible for,0.9,Caregiver,P6 Jorie M
"And then also like cooking and making sure that they're getting like the food that they need, like the healthier and food, not like the processed foods or anything, 'cause when it gets to like a certain age, you can't eat more. So like processed food or artificially flavored food. So it's more so like the healthier food,",cooking,0.95,Caregiver,P6 Jorie M
making sure that they're getting deliveries that they need when it comes to like ordering like on Amazon or anything.,what i am responsible for,0.85,Caregiver,P6 Jorie M
"And also checking in on them, checking in like driving to their house and checking in on them and making sure everything is OK. And also taking them to like a doctor appointments too.",what i am responsible for,0.9,Caregiver,P6 Jorie M
"Healthier and food. So it's more so like salmon salad, some rice here and there and then like mashed potatoes, broccoli, stuff that goes. That's much healthier on the healthier end.",what we cook,0.9,Caregiver,P6 Jorie M
"And if I'm not able to like cook it or anything, just making sure that I'm getting it like delivered to them and it's fresh and everything.",food delivery,0.8,Caregiver,P6 Jorie M
"But for the most part, they don't like eating out. So it's more so like cooking and making sure that it's there for them at that time and everything.",cooking,0.9,Cooking,P6 Jorie M
"Sometimes they're able to cook for themselves, sometimes it depends on like if they have strength to if they want to also. But for the most part, it's like me my my older siblings too. And like the older ones are the ones that like help too. So it's not just like me. It's like me take turns and doing that.",who cooks,0.9,Cooking,P6 Jorie M
"Getting it delivered for the most part, like if they don't feel like going grocery shopping, just being like oh what do you need? Just get it delivered to you and making sure everything is good and up to date when they're in.","how we shop (online, in store)",0.9,Cooking,P6 Jorie M
"I'm calling and texting and making sure everything is good and what do they need like if I can just get it delivered to them. Also asking my younger siblings that live there too, what do they need and getting that delivered to them for the most part too.",who i give care to,0.9,Cooking,P6 Jorie M
"I'm calling and texting and making sure everything is good and what do they need like if I can just get it delivered to them. Also asking my younger siblings that live there too, what do they need and getting that delivered to them for the most part too.",food delivery,0.8,Cooking,P6 Jorie M
"Parents, yeah, but they're like, they're younger. Younger SO.",who i give care to,0.8,Cooking,P6 Jorie M
"So some of them they have their own account or just order from my account and I just look at like my what I previously ordered for them an accident. They still need that and going ahead and like adding it again and like in the basket and just making sure that I'm making sure that they're getting like the healthier end of food, like it's salad, the juices, the healthier juices, vitamins, stuff like that. Like just upping everything from like the previous month.",account kids order through & why,0.9,Cooking,P6 Jorie M
"I'm making sure that they're getting like the healthier end of food, like it's salad, the juices, the healthier juices, vitamins, stuff like that. Like just upping everything from like the previous month.",what do they order,0.8,Cooking,P6 Jorie M
"They're more on traditional so they don't do online stuff, but it's just 'cause like I showed them that you can do it online. So they had like their own account and everything. And also they invite, you know, when you invite people where they also get like coupons and stuff like that. So that, but then most of the part like I'm helping, showing them even it's like on their account helping them showing them or it's like on my account, I'm doing it from my account and sending it to them 'cause I don't feel like they're able to like understand like that.",who places orders,0.9,Cooking,P6 Jorie M
"It's more so like they would rather go in person than to like use their phone to order online and do all that stuff. So they will always tell me like, hey, I want to get this from here. Even if they can just order from their account, they will show me it from there to like ordered from them, order it for them and get it delivered to their house.",food delivery,0.8,Cooking,P6 Jorie M
"I just have their address on there. I have like different addresses on there, so I'll just have their address on there. I'll get the stuff that I want and get it delivered to them. They'll just take a picture of like, so I know that it's there. I also call and see like, hey, did you get the delivery? Did you get all the items and everything? Like if I'm not there then yeah, but if I'm there at that time when it gets delivered, I'll just check the box and everything and making sure that everything is correct","how we shop (online, in store)",0.9,Cooking,P6 Jorie M
"sometimes they do like send out bad quality produce and stuff, which I don't like. They just be picking anything and also the dates will be bad.",grocery,0.8,Cooking,P6 Jorie M
"Yeah, I'll tell them. Make sure the date does not end this week, does not expire this week. Give it at least 10 days or something. Sometimes they'll give you the expired one that ends today and bad fruits and all that.",grocery,0.9,Cooking,P6 Jorie M
Ordering foods and meal delivery.,food delivery,0.9,Cooking,P6 Jorie M
"But like, yeah, preparing meals.",cooking,0.8,Cooking,P6 Jorie M
"So they will just call me and tell me that they want something and it just kind of like a back and forth. They won't say like where they want it from. They'll either be like they want pasta or salad and that's typically like the easier one, but I'd be like what kind of pasta 'cause they have so many different types of pasta. So it just be like whichever one you think will like. So then it goes to me like figuring out what kind do you think everybody will like? And I'm asking my siblings like, hey, what do you think they will like? And then also make it like my selection based off of that 'cause it's kind of like they don't really know like all the type of sauces and stuff that comes into play with that. But it's more so like anyone that you think that we will like and we're just going going with that one.",decisions on ordering,0.9,Cooking,P6 Jorie M
"Sometimes they don't check the full on mill before delivering it because like, I'll mark something on there even for the company that they're supposed to like put it in there. Like the food, they'll put it on there like on the paper, but they won't put it in the food, stuff like that. And it's kind of like I thought they understood what was going on, but then they didn't at the same time. So yeah, they're quite questionable.",food delivery,0.9,Cooking,P6 Jorie M
"I feel like sometimes it can be like the quality that they bring and give and also like some people aren't listening when it comes to like what exactly I'm asking for, like checking the expiration dates. Like if they're trying to like alternative, like give an alternative of like what I have. Like if it's the bread they want to get like an alternative or something else to make. And then they just take it off instead of like looking for something else and sending me the picture of like, hey, would this be good instead of this one? Some places do that, some people do that. I mean, but not all of them do that. It's just some of them. So it becomes quite questionable if anything, like they're not like listening or paying attention to it. They're just trying to get it out the way.",grocery,0.9,Cooking,P6 Jorie M
"I wish that I had like more time in order to like cook and also finding the strength to cook too. And 'cause I tend to like make big meals when I do, but it also like kind of sustain for like them too. And everybody else, you know?",cooking,0.9,Caregiver,P6 Jorie M
"So I have Grubhub, I have Uber Eats, Instacart, yeah. So I have a lot of different places.",current subscriptions,0.9,Cooking,P6 Jorie M
And Uber.,current subscriptions,0.8,Cooking,P6 Jorie M
And HelloFresh.,meal boxes,0.9,Cooking,P6 Jorie M
"Amazon, Walmart, Target, like TV subscriptions too or Oh yeah, Hulu, Hulu Plus, YouTube, I forgot. There's so many different ones. I just wish it was all like in one because it's a lot to think about when it comes stuff like that. And some of my some comes with like my phone service, like Apple too, the Apple stuff that comes with that. So it's just a lot to just think about and remember.",current subscriptions,0.9,Cooking,P6 Jorie M
"Pretty much a lot of them. Amazon for sure. Hulu, I would say pretty much a lot of them. I can't remember all of them.",current subscriptions,0.9,Cooking,P6 Jorie M
"I just have like my password open for like my family, my immediate and my extended.",who has access,0.8,Cooking,P6 Jorie M
"It's hard to manage that. It's just more so like my siblings, my parents. That's more so like who would have access to it rather than like friends and like cousins and stuff. So it's more so like my previous immediate. That makes sense. Or so I'm like, yeah, not too far out.",who has access,0.9,Cooking,P6 Jorie M
"I pay for it, OK.",who places orders,0.7000000000000001,Cooking,P6 Jorie M
"It's just I sometimes I pay for it, sometimes I don't. So right now it's not currently it's just free for me.",current subscriptions,0.9,Cooking,P6 Jorie M
"They're teenagers, so he's not old enough to like drive and do stuff so.",kids independence (overall),0.9,Cooking,P6 Jorie M
"Sometimes I'm the guardian 'cause I'm older than them, so they'll just be underneath me as like the kid or stuff like even if they're not like my child, you know, like siblings, but still like under. So that's how I manage it. Like I would see like I see pretty much like what they're doing as far as it goes to like what they're using and everything like Hulu and all the other stuff that they're using. I see pretty much all of that that they're doing on there.",monitoring,0.9,Cooking,P6 Jorie M
"Yeah, they (younger, highscool siblings) have their own independent one, like Uber Eats and all that stuff, 'cause you know, kids these days, they know a lot of these different things.",account kids order through & why,0.9,Cooking,P6 Jorie M
"They have a lot of them and I'm like, I didn't even have that when I was a kid. Like you have to eat at home. The only way you can get there is you have the walk or parent has to drop you off or drive you there.",culture,0.8,Cooking,P6 Jorie M
"I don't really see them, but they would tell me like, well, they ordered something from here or there. I'm like, how do like Ubereats, Grubhub, I'm like, how do you know about that? But yeah, they use that and then also like their main places, like wing stops. So when they order from there, they just use any other thing that's connected to it for pretty much for the most part.",what do they order,0.9,Cooking,P6 Jorie M
"No, they have their own account for those, Yeah.",account kids order through & why,0.9,Cooking,P6 Jorie M
"They get allowance. Funny enough, they get allowance, yeah.","how the kids get money (allowance, job)",1.0,Cooking,P6 Jorie M
"Well, for one, they're underneath like my Cash App as like a guardian for Cash App 'cause they're younger than 18 for that. And then I think they get cash. I would say, 'cause the only thing they can have is like cash App and cash, yeah.","how kids access money (credit, debit)",0.9,Cooking,P6 Jorie M
"Yeah, as like I'm their guardian on there. So yeah, 'cause my dad and parents don't have that, so I'm like the only one that has it so I can send money through there for them and stuff, yeah.",what i am responsible for,0.9,Cooking,P6 Jorie M
"Yeah, older Gen. doesn't understand that, but the younger ones, they understand all of that. And for me I'm like, I don't understand how y'all know this.",other,0.8,Cooking,P6 Jorie M
"They didn't have like credit card or anything or debit card. They can't get credit card at that age like debit cards for access. They have banks, but they can't access it till they're like 18 in order. Yeah. So they would just use like their cash App or cash.","how kids access money (credit, debit)",0.9,Cooking,P6 Jorie M
"Yeah, they use it for food. They use it to buy food and clothes, like at that age. Like you don't have bills at that age, like it's just food and to buy clothes or shoes or something.",what they spend on,0.9,Cooking,P6 Jorie M
"I can see everything that happens on their end, like how much they have, what they're using their money for and everything. Like I see everything on that end. Oddly enough, I didn't even know they can have that stuff. But then since I like became the Guardian, like I invited him to when he was young. So I was like, OK, then they made me like the Guardian on there and stuff.",managing their moeny - current,0.9,Cooking,P6 Jorie M
"They can't buy certain stuff on there as a kid with this stuff. It's more so like it's food that you can buy and like clothes I guess. Or like Xbox subscriptions, Microsoft subscriptions and stuff like that for like their Xbox. That's about it. Like you can't do other stuff pretty much on there, yeah.",what they spend on,0.9,Cooking,P6 Jorie M
"Whenever he asks me for money, whenever he asks me for money, that was like, OK, let me go and see how much you have right now and what's going on there.",managing their moeny - current,0.9,Cooking,P6 Jorie M
"I see everything that pretty much goes on there, like what they're buying, like the food and everything.",monitoring,0.9,Cooking,P6 Jorie M
"I don't feel like they should be buying from like anything that a kid cannot buy from, you know, they can buy food. Yeah, makes sense. They can buy other stuff that's like for kids, but not like if over their age. And I feel like it should state that they're a kid on that app.",rules - ideal,0.9,Cooking,P6 Jorie M
"I don't know what it looks like on their side, but for my side, like I can see what they buy things with. And it's mainly like food. I don't know what else kids buy. So it's food and Xbox subscription?",what they spend on,0.8,Cooking,P6 Jorie M
I would like it to be off limits if anything. Like you can't buy from certain places they reject stuff like that. It just rejects from certain places.,managing - ideal,0.9,Cooking,P6 Jorie M
"Like you can't have cards as kids. Yeah. I didn't get access to, like, my bank account till I was like 18.","how kids access money (credit, debit)",0.9,Cooking,P6 Jorie M
"I'm not giving him access to certain things 'cause I have a cousin, he was like 9 and he was ordering from Ubereats. And I'm just like, how do you have access to that? And whenever nobody like wanted to take him to go eat somewhere and he knew he couldn't eat that, he would just order it. I'm like, what are you doing?",account kids order through & why,0.9,Cooking,P6 Jorie M
"I'm not giving him access to certain things 'cause I have a cousin, he was like 9 and he was ordering from Ubereats.",rules - current,0.8,Cooking,P6 Jorie M
"And he was young, but I was like, I don't understand, like, 'cause his parents gave him access to that, Like he could just purchase anything. Yeah. And I'm just like, that's actually bad 'cause they're gonna order anything and everything. I also see on social media how kids are ordering so many different foods from different places. They're going grocery shopping. And like, that's not good 'cause they're using their parents money. It's really not good.",feelings about kids eating food delivery,0.9,Cooking,P6 Jorie M
"18, like, yeah, 18 pretty much. Or maybe when they start making their own money.",kids independence (overall),0.9,Cooking,P6 Jorie M
"But like, if you want to order something, you can look on together and order it. Yeah, we can look together and see if that's something that's suitable for you.",process if they want to order,0.9,Cooking,P6 Jorie M
"Yeah, I need to see like, what's going on, What are you ordering? What are you trying to do 'cause I mean, there's some food places that I just don't trust, like McDonald's and Burger King. Like I don't trust our food quality or anything as far as it goes for like kids and even adults too.",feelings about kids eating food delivery,0.9,Cooking,P6 Jorie M
"It's just especially ever since 7 birth, I give like it's been so easy, especially with the demands of a baby now even the toddler she's can't she's crazy at the grocery store. So it's so it's so convenient to order groceries, you know, online and like Grubhub, Grubhub usually we do because there doesn't seem to be many groceries, I guess on Grubhub like limited. So we do, but we do like to order out from restaurants every weekend. So that's why I usually do Grubhub and then but like with the grocery stores, I find like Instacart to be really helpful and like a couple hours.","how we shop (online, in store)",0.9,Cooking,P3 Lia O
we do like to order out from restaurants every weekend. So that's why I usually do Grubhub,when family orders/ how often,0.8,Cooking,P3 Lia O
"Usually it's three days, three days a week.",when we cook,0.9,Cooking,P3 Lia O
"Yep, so my mother-in-law watches her one day a week and then there's a home daycare in the area, like in our neighborhood. So she goes there like to get like socialization and stuff like twice a week.",childcare,0.95,Cooking,P3 Lia O
"It's usually the same, yeah, usually the same depending on my work schedule, but it's pretty consistent.",when we cook,0.8,Cooking,P3 Lia O
Like twice a week.,when family orders/ how often,0.9,Cooking,P3 Lia O
"A full day, like 99 to 9:00 to 5:00.",childcare,0.8,Cooking,P3 Lia O
"Yeah, so before it was like when my daughter was just eating salads, it was like just like the baby food stuff. I would just order that. Like Instacart, like I would order that kind of food",grocery,0.9,Cooking,P3 Lia O
